Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2024;1º;45713971;BRQUALY ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;4;0;5;2082;
2024;1º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S/A; ;2;10;0;12;77537;
2024;1º;13170428;CIMAVEL ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;0;1;2634;
2024;1º;59129403;CNF - ADMINISTRADORA DE CONSÓRCIOS NACIONAL LTDA.; ;2;2;0;4;6360;
2024;1º;05349595;CNP CONSÓRCIO S.A. ADMINISTRADORA DE CONSÓRCIOS;1.389,57;152;77;13;242;109386;
2024;1º;27268770;COIMEX ADMINISTRADORA DE CONSÓRCIOS S.A.; ;2;16;2;20;35379;
2024;1º;75770164;CONBR ADMINISTRADORA DE CONSÓRCIOS S.A.; ;1;0;0;1;3347;
2024;1º;07336852;CONBRAV - ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;2;0;0;2;5042;
2024;1º;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;6;1;7;6326;
2024;1º;47658539;CONSÓRCIO NACIONAL VOLKSWAGEN - ADMINISTRADORA DE CONSÓRCIO LTDA.;607,53;36;47;7;90;59256;
2024;1º;58919903;CONVEF ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;3;0;4;11488;
2024;1º;61550836;COOPERATIVA MISTA ROMA;1.562,98;20;24;0;44;12796;
2024;1º;59395061;DISAL ADMINISTRADORA DE CONSÓRCIOS LTDA;413,73;58;41;4;103;140187;
2024;1º;58113812;EMBRACON ADMINISTRADORA DE CONSÓRCIO LTDA;422,12;91;133;9;233;215576;
2024;1º;42735881;EVOY ADMINISTRADORA DE CONSORCIO LTDA.;2.016,49;11;5;0;16;5455;
2024;1º;91107581;FARROUPILHA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;1;0;2;50865;
2024;1º;45725975;FINAMA ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;5141;
2024;1º;00643742;FUNDACAO HABITACIONAL DO EXERCITO - FHE; ;2;2;2;6;26041;
2024;1º;47820097;GAPLAN ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;1;0;1;17906;
2024;1º;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA;298,33;33;33;2;68;110615;
2024;1º;26228270;GROSCON ADMINISTRADORA DE CONSORCIOS LTDA.; ;1;2;0;3;2030;
2024;1º;73516106;HS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;5;23;0;28;275048;
2024;1º;00000776;ITAÚ ADMINISTRADORA DE CONSÓRCIOS LTDA.;175,27;108;125;16;249;616184;
2024;1º;62798475;KASINSKI ADMINISTRADORA DE CONSÓRCIOS LTDA.;914,78;13;12;0;25;14211;
2024;1º;41629070;KLUBI ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;4;0;5;17154;
2024;1º;60250776;LUIZA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;3;15;1;19;97912;
2024;1º;04250224;MAGGI ADMINISTRADORA DE CONSÓRCIOS LTDA; ;3;6;0;9;37472;
2024;1º;45793395;MASSEY FERGUSON ADMINISTRADORA DE CONSÓRCIOS LTDA; ;4;0;0;4;23352;
2024;1º;46349106;MERCABENCO ADMINISTRADORA DE CONSORCIO LTDA; ;4;0;0;4;11793;
2024;1º;05126027;MOTOASA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;14799;
2024;1º;04124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA.;688,61;21;31;1;53;30496;
2024;1º;05395814;NOVOTEMPO ADMINISTRADORA DE CONSORCIOS LTDA.; ;1;0;0;1;4693;
2024;1º;48041735;PORTO SEGURO ADMINISTRADORA DE CONSÓRCIOS LTDA;280,27;96;83;8;187;342521;
2024;1º;87433413;PORTOBENS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;0;3;13791;
2024;1º;51597300;PRIMO ROSSI ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;3;2;6;25587;
2024;1º;09111444;PROMOVE ADMINISTRADORA DE CONSÓRCIO LTDA.;2.117,39;18;7;0;25;8501;
2024;1º;91108027;RANDON ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;3;0;0;3;93305;
2024;1º;23767155;RECON ADMINISTRADORA DE CONSORCIOS LTDA; ;3;9;2;14;24841;
2024;1º;62354055;REMAZA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;9;0;10;15059;
2024;1º;28904092;RESERVA ADMINISTRADORA DE CONSÓRCIO LTDA;2.620,80;16;13;0;29;6105;
2024;1º;80402746;RIVEL ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;6316;
2024;1º;51855716;RODOBENS ADMINISTRADORA DE CONSÓRCIOS LTDA.;156,92;15;40;8;63;95589;
2024;1º;55942312;SANTANDER BRASIL ADMINISTRADORA DE CONSÓRCIO LTDA.;170,38;63;76;11;150;369753;
2024;1º;94187879;SERELLO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;0;0;1;1623;
2024;1º;76515071;SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA; ;5;1;0;6;79170;
2024;1º;16551061;SICOOB ADMINISTRADORA DE CONSÓRCIOS LTDA.;102,62;40;36;8;84;389751;
2024;1º;87945218;SIMPALA LANÇADORA E ADMINISTRADORA DE CONSÓRCIOS LTDA.;1.370,83;29;12;1;42;21155;
2024;1º;87852273;SINOSSERRA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;2;0;2;3689;
2024;1º;54708839;SPERTA ADMINISTRADORA DE CONSORCIO NACIONAL LTDA; ;1;0;0;1;32661;
2024;1º;87636635;SPONCHIADO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;1;2;5259;
2024;1º;57723801;SUZUKI MOTOS ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;0;1;4037;
2024;1º;43707203;TOYOTA ADMINISTRADORA DE CONSÓRCIOS DO BRASIL LTDA.; ;1;2;1;4;9933;
2024;1º;59956185;TRADIÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.;358,70;6;3;0;9;16727;
2024;1º;60732997;UNIFISA ADMINISTRADORA NACIONAL DE CONSORCIOS LTDA;319,57;9;23;2;34;28162;
2024;1º;56360266;VALTRA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;18510;
2024;1º;49995293;VINAC ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;15549;
2024;1º;50827237;VKN ADMINISTRADORA DE CONSÓRCIO LTDA.; ;4;3;0;7;2029;
2024;1º;40011095;XS5 ADMINISTRADORA DE CONSÓRCIOS S.A.;266,23;37;22;1;60;138973;
2024;1º;47458153;YAMAHA ADMINISTRADORA DE CONSÓRCIO LTDA.;54,75;8;20;1;29;146096;
2024;1º;23367634;ZEMA ADMINISTRADORA DE CONSÓRCIO LTDA;543,30;10;15;1;26;18406;
