Ano;Semestre;Tipo;Irregularidade;Aplicação;
2015;1º;Reclamação regulada;Cobrança irregular de tarifa em conta-salário;"Para os casos envolvendo cobrança de tarifa em conta-salário, tais como as relativas a:
- transferência dos créditos para outras instituições, quando realizadas pelos beneficiários pelo valor total creditado, admitida a dedução de eventuais descontos com eles contratados, relativos a parcelas de operações de empréstimo, de financiamento ou de arrendamento mercantil;
- ressarcimento pelos custos relativos à prestação do serviço à entidade contratante, inclusive pela efetivação do crédito respectivo; 
- fornecimento de cartão magnético; 
- realização de até cinco saques, por evento de crédito;
- acesso, por meio de terminais de autoatendimento ou diretamente no guichê de caixa, a pelo menos duas consultas mensais ao saldo; 
- fornecimento, por meio de terminais de autoatendimento ou diretamente no guichê de caixa, a  pelo menos dois extratos contendo toda a movimentação da conta nos últimos trinta dias;
-  manutenção da conta, inclusive no caso de não haver movimentação.";
2015;1º;Reclamação regulada;Cobrança irregular de tarifa em financiamento imobiliário;Para os casos de cobrança irregular de tarifas relacionadas às operações de financiamento imobiliário enquadradas dentro ou fora do Sistema Financeiro da Habitação.;
2015;1º;Reclamação regulada;Cobrança irregular de tarifa para recebimento de boleto de pessoa jurídica;"Para os casos de cobrança de tarifa do sacado, pessoa jurídica, por parte da instituição financeira recebedora, em razão do recebimento de boleto de cobrança de outra instituição.";
2015;1º;Reclamação regulada;Cobrança irregular de tarifa pela emissão de boleto, fatura de cobrança, carnês e assemelhados;"Para os casos em que há cobrança de tarifa pela emissão de boletos, faturas de cobrança, carnês e assemelhados.";
2015;1º;Reclamação regulada;Cobrança irregular de tarifa pela prestação de serviços especiais a pessoa física;"Para os casos de cobrança de tarifa pela prestação de serviços especiais a pessoas naturais, cuja legislação e regulamentação específicas definem as tarifas e as condições em que são aplicáveis, a exemplo dos serviços referentes ao (às): 
- crédito rural;
- Sistema Financeiro de Habitação - SFH;
- Fundo de Garantia do Tempo de Serviço - FGTS;
- Fundo PIS/PASEP;
- penhor civil previsto no Decreto nº 6.473, de 5.6.2008;
- contas especiais de que trata a Resolução nº 3.211, de 30.6.2004; 
- contas de registro e controle disciplinadas pela Resolução nº 3.402, de 6.9.2006; e 
- operações de microcrédito de que trata a Resolução nº 3.422, de 30.11.2006.";
2015;1º;Reclamação regulada;Cobrança irregular de tarifa pela prestação de serviços essenciais à pessoa natural;"Para os casos envolvendo cobrança de tarifa pela prestação de serviços essenciais a pessoas naturais, assim considerados aqueles relativos a:

I- Conta de depósito à vista: 
- fornecimento de cartão com função débito; 
- fornecimento de segunda via do cartão de débito, exceto nos casos decorrentes de perda, roubo, furto, danificação e outros motivos não imputáveis à instituição emitente; 
- realização de até quatro saques, por mês, em guichê de caixa, inclusive por meio de cheque ou de cheque avulso, ou em terminal de autoatendimento; 
- realização de até duas transferências de recursos entre contas na própria instituição, por mês, em guichê de caixa, em terminal de autoatendimento e/ou pela internet; 
- fornecimento de até dois extratos, por mês, contendo a movimentação dos últimos 30 dias por meio de guichê de caixa e/ou terminal de autoatendimento; 
- realização de consultas mediante utilização da internet; 
- fornecimento, até 28 de fevereiro de cada ano, do extrato consolidado, discriminando, mês a mês, os valores cobrados no ano anterior relativos a tarifas, entre outros; 
- compensação de cheques; 
- fornecimento de até dez folhas de cheques por mês, desde que o cliente reúna os requisitos necessários à utilização de cheques, conforme a regulamentação em vigor e condições pactuadas; e 
- prestação de qualquer serviço por meios eletrônicos, no caso de contas cujos contratos prevejam utilizar exclusivamente meios eletrônicos. 
II- Conta de depósitos de poupança:
- fornecimento de cartão com função movimentação; 
- fornecimento de segunda via do cartão, exceto nos casos de pedidos de reposição formulados pelo correntista, decorrentes de perda, roubo, furto, danificação e outros motivos não imputáveis à instituição emitente; 
- realização de até dois saques, por mês, em guichê de caixa ou em terminal de autoatendimento; 
- realização de até duas transferências, por mês, para conta de depósitos de mesma titularidade; 
- fornecimento de até dois extratos, por mês, contendo a movimentação dos últimos trinta dias; 
- realização de consultas mediante utilização da internet; 
- fornecimento, até 28 de fevereiro de cada ano, do extrato consolidado, discriminando, mês a mês, os valores cobrados no ano anterior relativos a tarifas, entre outros; e 
- prestação de qualquer serviço por meios eletrônicos, no caso de contas cujos contratos prevejam utilizar exclusivamente meios eletrônicos. ";
2015;1º;Reclamação regulada;Cobrança irregular de tarifa por liquidação antecipada;"Para os casos envolvendo cobrança de tarifa por liquidação antecipada em contratos celebrados com pessoas naturais, microempresas e empresas de pequeno porte a partir de 10.12.2007.";
2015;1º;Reclamação regulada;Cobrança irregular de tarifa por serviços não contratados;Para os casos envolvendo a cobrança de tarifa pela prestação de serviços não contratados ou autorizados pelo cliente ou usuário.;
2015;1º;Reclamação regulada;Cobrança irregular referente a ressarcimento de serviços prestados por terceiros envolvendo correspondentes no País;"Para os casos em que ocorre cobrança, por meio de correspondentes no País, de tarifa, comissão ou valores referentes a ressarcimento de serviços prestados por terceiros ou qualquer forma de remuneração, pelo fornecimento de produtos ou serviços de responsabilidade da instituição financeira contratante.";
2015;1º;Reclamação não regulada;Cobranças diversas;"Para situações diversas relacionados a cobrança, tais como:
- cobrança de dívida em atraso, incluindo juros de mora, multa, comissão de permanência, despesas com escritório de cobrança, sem especificar o valor correspondente a cada item cobrado;
- cobrança de ressarcimento de serviços prestados por terceiros.";
