Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2024;2º;94187879;SERELLO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;0;0;1;4224;
2024;2º;76515071;SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA; ;3;5;1;9;92118;
2024;2º;16551061;SICOOB ADMINISTRADORA DE CONSÓRCIOS LTDA.;76,03;31;38;7;76;407708;
2024;2º;87945218;SIMPALA LANÇADORA E ADMINISTRADORA DE CONSÓRCIOS LTDA.;628,47;14;5;0;19;22276;
2024;2º;87852273;SINOSSERRA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;1;0;2;3760;
2024;2º;04058605;SOLUÇÃO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;0;0;1;11342;
2024;2º;57723801;SUZUKI MOTOS ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;1;0;2;4376;
2024;2º;05551841;TÁGIDE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1; ;
2024;2º;43707203;TOYOTA ADMINISTRADORA DE CONSÓRCIOS DO BRASIL LTDA.; ;1;3;0;4;13378;
2024;2º;59956185;TRADIÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;5;10;0;15;19939;
2024;2º;78199262;TRIÂNGULO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;0;1;7005;
2024;2º;60732997;UNIFISA ADMINISTRADORA NACIONAL DE CONSORCIOS LTDA;474,31;14;15;0;29;29516;
2024;2º;56360266;VALTRA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;2;0;3;18368;
2024;2º;74118381;VOLVO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;2;1;0;3; ;
2024;2º;40011095;XS5 ADMINISTRADORA DE CONSÓRCIOS S.A.;126,22;22;40;0;62;174290;
2024;2º;47458153;YAMAHA ADMINISTRADORA DE CONSÓRCIO LTDA.;64,50;10;11;3;24;155016;
2024;2º;23367634;ZEMA ADMINISTRADORA DE CONSÓRCIO LTDA;462,96;8;18;1;27;17280;
