Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2014;10;Menos de dois milhões de clientes;Banco/financeira;11970623;SENFF S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;3702; ;3702;15;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;SICREDI (conglomerado); ;0;1;0;1;1836854;1802110;86739;979381;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado);16,05;12;141;19;172;747488;565;746985;68;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;0;1;0;1;21051;5803;15439;1487;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;0;1;1;2;34705;21671;13835;7978;
2014;10;Menos de dois milhões de clientes;Banco/financeira;04814563;SOROCRED   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;1;6;7;118203; ;118203;607;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;0;9;27;36;654840;1384;653821;759;
2014;10;Mais de dois milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);2,97;13;147;175;335;4374252;19094;4358271;6614;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;1;2;0;3;3;3; ;1;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;3;1;4;113572;56;113517;17;
