Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Bloqueio de cartão de crédito;0;0;1;1;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Bloqueio de conta;0;0;2;2;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;0;2;0;2;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Cobrança irregular de tarifa de cartão de crédito básico;0;1;0;1;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Cobrança irregular de tarifa por serviços não contratados;1;6;0;7;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Contratação de pacote de serviços sem contrato específico;2;2;0;4;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Descumprimento contratual;0;0;2;2;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Débito em conta de depósito não autorizado pelo cliente;1;1;0;2;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Encaminhamento de instrumento de pagamento ao domicílio não solicitado;1;2;0;3;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Encerramento de conta de depósito à vista sem solicitação do cliente;1;2;0;3;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Falta de transparência na redação de documentos;0;1;0;1;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;2;1;0;3;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Insatisfação com o atendimento prestado pelo SAC;0;0;9;9;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Insatisfação com o atendimento prestado por agências;0;0;4;4;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Investimentos financeiros;0;0;1;1;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Irregularidades relacionadas a operações no mercado de câmbio;0;2;0;2;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Irregularidades relacionadas ao atendimento da Ouvidoria;0;2;0;2;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário;1;0;0;1;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;1;1;0;2;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada;0;7;0;7;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);Irregularidades relacionadas à compensação de documentos (exceto cheques);0;1;0;1;
