Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;31680151;SWAP MEIOS DE PAGAMENTOS INSTITUICAO DE PAGAMENTO S.A.; ;8;4;1;13;1471015;1460508;294958;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09473806;TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;0;0;1;35225;12;35213;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;30980539;U4C INSTITUIÇÃO DE PAGAMENTO S.A.; ;0;3;0;3;0;0;0;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;3;21;5;29;329847;1071;328827;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOITER (conglomerado); ;8;4;2;14;36998;34648;2934;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOLKSWAGEN (conglomerado); ;11;31;34;76;357255;288;357098;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOLVO (conglomerado); ;0;2;0;2;9430;47;9408;
2023;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOTORANTIM (conglomerado);9,84;142;234;134;510;14419732;10540784;5291451;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;32708748;WE PAY OUT INSTITUICAO DE PAGAMENTO LTDA.; ;0;1;0;1;0;0;0;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;WESTERN UNION (conglomerado); ;1;1;0;2;4;4; ;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;WILL (conglomerado);22,75;121;74;82;277;5316473;5312248;2912577;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;XP (conglomerado);54,98;304;92;25;421;5529277;5527702;1116850;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;7;7;6;20;230351;189;230187;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;35810871;Z1 INSTITUIÇÃO DE PAGAMENTO LTDA.; ;5;9;3;17;0;0;0;
