Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);35,88;1226;4463;5458;11147;34166628;30264916;9796353;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;0;1;3;4;6603; ;6603;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;07747410;SAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;5;10;15;138457; ;138457;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;SCANIA (conglomerado); ;0;0;1;1;3829;139;3822;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;11970623;SENFF S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;3;4;5545; ;5545;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;SICREDI (conglomerado); 0 ;0;1;0;1;2374014;2344859;93148;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;19;59;52;130;483690;894;482867;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;03881423;SOCINAL S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;1285; ;1285;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;0;2;0;2;18881;7370;11699;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;0;2;2;4;42259;33321;9844;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;04814563;SOROCRED   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;1;8;34;43;97754; ;97754;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;UBS (conglomerado); ;0;0;1;1;12;12; ;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;05192316;VIA CERTA FINANCIADORA S A    CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;0;1;1;2;96961; ;96961;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;1;32;97;130;563507;1388;562467;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;VOLVO (conglomerado); ;0;1;1;2;10834;176;10826;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);22,90;87;640;634;1361;3798665;17289;3783511;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;WESTERN UNION (conglomerado); ;2;1;2;5;3;3; ;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;3;9;12;104131;48;104082;
