Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BARIGUI; ;721,82;219;66;68;213;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;00556603;BARIGUI;BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.; 0 ;219;66;68;213;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BB; ;18,15;10724;201;1407;1528;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;24933830;BB;BB-BANCO DE INVESTIMENTO S/A; 0 ;2;1;1;3;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;00000000;BB;BANCO DO BRASIL S.A.; 0 ;10722;200;1406;1525;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BBC; ; ;16;0;0;12;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;01852137;BBC;BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA; ;16;0;0;12;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMG; ;32,01;2935;130;337;1141;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;62421979;BMG;BANCO CIFRA S.A.; ;5;2;5;2;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;61186680;BMG;BANCO BMG S.A.; 0 ;2736;118;316;1023;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;50585090;BMG;BANCO BMG CONSIGNADO S.A.; ;194;10;17;116;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BMW; ; ;5;3;3;5;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;04452473;BMW;BMW FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;5;3;3;5;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNP PARIBAS; ; ;388;23;29;313;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;01522368;BNP PARIBAS;BANCO BNP PARIBAS BRASIL S.A.; ;388;23;29;313;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNQI - FINANCEIRO; ; ;59;12;13;56;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;30723871;BNQI - FINANCEIRO;BANQI INSTITUICAO DE PAGAMENTO LTDA.; ;59;12;13;56;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BNY MELLON; ; ;1;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;42272526;BNY MELLON;BNY MELLON BANCO S.A.; ;1;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BOCOM; ; ;1;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;15114366;BOCOM;BANCO BOCOM BBM S.A.; ;1;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BOFA MERRILL LYNCH; ; ;5;0;0;4;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;62073200;BOFA MERRILL LYNCH;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; ;5;0;0;4;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BRADESCO; ;29,88;17532;528;3249;2851;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;60746948;BRADESCO;BANCO BRADESCO S.A.; 0 ;15407;285;2855;1538;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;40473435;BRADESCO;REPASSES FINANCEIROS E SOLUCOES TECNOLOGICAS INSTITUICAO DE PAGAMENTO S.A.; 0 ;20;2;5;8;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;33254319;BRADESCO;BANCO LOSANGO S.A. - BANCO MÚLTIPLO; 0 ;100;4;5;78;
