Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02732968;FORTBRASIL INSTITUIÇÃO DE PAGAMENTO S/A; ;39;14;16;35;616186;0;616186;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GAZIN (conglomerado); ;6;2;2;6;119613;47225;80011;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GENIAL (conglomerado);65,19;189;88;97;172;1483218;1483197;11053;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GERENCIANET (conglomerado);90,03;101;44;44;100;493521;493301;22852;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GM (conglomerado); ;51;9;11;41;241319;506;240901;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07631026;GOLCRED S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;2;1;2;1;15690;26;15668;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;06339468;GRAZZIOTIN FINANCEIRA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;7;0;0;3;80566;1;80565;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GRUPO BONSUCESSO - BS2 (conglomerado);79,87;108;37;36;110;454818;451533;7299;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;GRUPO ZEMA (conglomerado); ;122;24;29;101;427119;52534;399425;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;HERVAL - HS (conglomerado); ;26;13;13;27;221306;571;220800;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27970567;HINOVA PAY INSTITUICAO DE PAGAMENTO S.A.; ;2;0;0;1;1353;1353;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;HONDA (conglomerado); ;57;8;12;38;438478;156;438410;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13884775;HUB INSTITUIÇÃO DE PAGAMENTO S.A.;3,10;98;38;38;98;12219419;12219294;484;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;74;13;19;51;82882;4589;79179;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;INTER (conglomerado);74,11;7256;488;2515;1407;33931240;33747285;5468123;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ITAU (conglomerado);49,97;18777;998;4956;4009;99170086;82400144;52857368;
