Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;0;22;14;36;56005;8229;49316;2953;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;PAN (conglomerado);12,09;23;367;256;646;1901923;14229;1889165;2130;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;PARANÁ BANCO (conglomerado); ;2;67;40;109;393603;4635;389373;1807;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado); ;0;1;5;6;1424903; ;1424903; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado);11,05;10;24;32;66;904234; ;904234; ;
2016;3;Menos de dois milhões de clientes;Banco/financeira;01800019;PORTOCRED S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;1;2;4;67818; ;67818; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;PSA FINANCE (conglomerado); ;1;1;2;4;101009;381;100735; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;0;1;4;5;14893;10069;6078;3429;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;0;0;1;1;21560;12559;16647;351;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;SAFRA (conglomerado);17,20;12;90;80;182;697650;259561;480977;141705;
2016;3;Menos de dois milhões de clientes;Banco/financeira;05503849;SANTANA S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;25103; ;25103; ;
2016;3;Mais de dois milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);6,86;234;779;942;1955;34073983;30195783;9732320;21928554;
2016;3;Menos de dois milhões de clientes;Banco/financeira;07747410;SAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;2;3;136927; ;136927; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado); ;0;9;9;18;484245;963;483356;66;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;0;1;0;1;42502;33573;9847;15194;
2016;3;Menos de dois milhões de clientes;Banco/financeira;04814563;SOROCRED   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;2;7;9;95425; ;95425; ;
2016;3;Menos de dois milhões de clientes;Banco/financeira;05192316;VIA CERTA FINANCIADORA S A    CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;0;0;1;1;99024; ;99024; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;0;5;16;21;566194;1388;565154; ;
2016;3;Mais de dois milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);5,20;20;128;122;270;3842692;17278;3827571;4436;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;1;3;4;104109;47;104062; ;
